trip_id,organization_name,is_operator
121120000305690012,Nobina Sverige AB,1
121120000305690147,Nobina Sverige AB,1
121120000305690327,Nobina Sverige AB,1
121120000305690552,Nobina Sverige AB,1
121120000305690642,Nobina Sverige AB,1
121120000305690687,Nobina Sverige AB,1
121120000305690732,Nobina Sverige AB,1
121120000305691362,Nobina Sverige AB,1
121120000305691722,Nobina Sverige AB,1
121120000305691767,Nobina Sverige AB,1
121120000305691857,Nobina Sverige AB,1
121120000305691902,Nobina Sverige AB,1
121120000305691947,Nobina Sverige AB,1
121120000305692037,Nobina Sverige AB,1
121120000305692127,Nobina Sverige AB,1
121120000305692487,Nobina Sverige AB,1
121120000305692757,Nobina Sverige AB,1
121120000305692847,Nobina Sverige AB,1
121120000305693162,Nobina Sverige AB,1
121120000305693477,Nobina Sverige AB,1
121120000305686771,Nobina Sverige AB,1
121120000305686861,Nobina Sverige AB,1
121120000305687221,Nobina Sverige AB,1
121120000305687356,Nobina Sverige AB,1
121120000305687716,Nobina Sverige AB,1
121120000305687957,Nobina Sverige AB,1
121120000305688047,Nobina Sverige AB,1
121120000305688137,Nobina Sverige AB,1
121120000305688227,Nobina Sverige AB,1
121120000305688682,Nobina Sverige AB,1
121120000305688717,Nobina Sverige AB,1
121120000305688752,Nobina Sverige AB,1
121120000305688962,Nobina Sverige AB,1
121120000305689112,Nobina Sverige AB,1
121120000305689157,Nobina Sverige AB,1
121120000305689337,Nobina Sverige AB,1
121120000305689382,Nobina Sverige AB,1
121120000305689742,Nobina Sverige AB,1
121120000305689832,Nobina Sverige AB,1
121120000305689922,Nobina Sverige AB,1
121120000305690057,Nobina Sverige AB,1
121120000305690102,Nobina Sverige AB,1
121120000305690462,Nobina Sverige AB,1
121120000305690777,Nobina Sverige AB,1
121120000305690822,Nobina Sverige AB,1
121120000305690867,Nobina Sverige AB,1
121120000305690912,Nobina Sverige AB,1
121120000305691047,Nobina Sverige AB,1
121120000305691182,Nobina Sverige AB,1
121120000305691407,Nobina Sverige AB,1
121120000305691452,Nobina Sverige AB,1
121120000305691587,Nobina Sverige AB,1
121120000305691632,Nobina Sverige AB,1
121120000305692442,Nobina Sverige AB,1
121120000305692667,Nobina Sverige AB,1
121120000305692712,Nobina Sverige AB,1
121120000305693027,Nobina Sverige AB,1
121120000305693072,Nobina Sverige AB,1
